Date,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep,Sleep Time,Minutes after 9 pm,Weekday,Awake Time,Sleep Score
2022-12-05,320,50,24,370,93,156,71, 11:11,131,0, 5:21,72
2022-12-04,484,54,32,538,146,235,103, 10:49,109,6, 7:47,88
2022-12-03,468,59,29,527,156,247,65, 10:59,119,5, 7:46,80
2022-12-02,475,61,36,536,127,238,110, 10:40,100,4, 7:36,79
2022-12-01,428,61,31,489,108,262,58, 10:49,109,3, 6:58,81
2022-11-30,442,58,31,500,125,200,117, 10:35,95,2, 6:55,84
